state,source,scrape_ts,game_number,game_name,price,overall_odds_1_in,top_prize_amount,top_prizes_remaining,all_prizes_remaining,status,detail_url,prize_data,true_ev
NY,lottery_net,2026-01-19T00:25:59.157849+00:00,1671,"$5,000,000 Blitz",20.0,3.79,250.0,,4,active,https://scratchcards.net/new-york/1671,[],
NY,lottery_net,2026-01-19T00:25:59.157857+00:00,1672,Lucky 13,5.0,4.11,500000.0,,1,active,https://scratchcards.net/new-york/1672,[],
NY,lottery_net,2026-01-19T00:25:59.157865+00:00,1673,"Win $60,000",3.0,3.92,60000.0,,3,active,https://scratchcards.net/new-york/1673,[],
NY,lottery_net,2026-01-19T00:25:59.157873+00:00,1674,"$5,000 Holiday Frenzy",10.0,3.85,5000.0,,203,active,https://scratchcards.net/new-york/1674,[],
NY,lottery_net,2026-01-19T00:25:59.157881+00:00,1675,$500 Holiday Bonus,5.0,3.93,500.0,,332,active,https://scratchcards.net/new-york/1675,[],
NY,lottery_net,2026-01-19T00:25:59.157890+00:00,1676,$100S For The Holidays,2.0,4.45,100.0,,543,active,https://scratchcards.net/new-york/1676,[],
NY,lottery_net,2026-01-19T00:25:59.157898+00:00,1677,"$100, $200 Or $500!",30.0,6.25,500.0,,46940,active,https://scratchcards.net/new-york/1677,[],
NY,lottery_net,2026-01-19T00:25:59.157906+00:00,1678,2026,5.0,4.33,500000.0,,2,active,https://scratchcards.net/new-york/1678,[],
NY,lottery_net,2026-01-19T00:25:59.157914+00:00,1679,10Xtra,1.0,4.8,5000.0,,11,active,https://scratchcards.net/new-york/1679,[],
NY,lottery_net,2026-01-19T00:25:59.157930+00:00,1681,100Xtra,10.0,3.91,250.0,,4,active,https://scratchcards.net/new-york/1681,[],
NY,lottery_net,2026-01-19T00:25:59.157938+00:00,1683,20Xtra,2.0,4.79,25000.0,,6,active,https://scratchcards.net/new-york/1683,[],
NY,lottery_net,2026-01-19T00:25:59.157947+00:00,1682,"$500,000 Year Of The Horse",5.0,3.98,500000.0,,3,active,https://scratchcards.net/new-york/1682,[],
